Date,Open,High,Low,Close,Volume,Symbol,Currency
,,,,,BTC-USD,,INR
2014-12-05,22825.23457573552,23427.61883495946,22597.50403312489,23283.17127986066,15181800,BTC,INR
2014-12-06,23277.177378493245,23381.653021358885,22918.09573844285,23155.342235819553,7009320,BTC,INR
2014-12-07,23158.49285210925,23248.44850930944,23062.049301041407,23174.494815275422,6491650,BTC,INR
2014-12-08,23214.457625085604,23280.33064115397,22404.723045551218,22406.14763336466,18898700,BTC,INR
2014-12-09,22371.62471799529,22444.0752338178,21324.18049745867,21773.474059255794,32915500,BTC,INR
2014-12-10,21791.979521129746,21803.05578530347,21430.641421299428,21430.641421299428,16427700,BTC,INR
2014-12-11,21350.112225483404,22405.2171424781,21004.32176101068,21732.423682119,32431300,BTC,INR
2014-12-12,21917.59034717828,22051.906914954772,21821.255563382758,22024.3557273075,16989800,BTC,INR
2014-12-13,22014.298809804255,22014.298809804255,21652.392769035883,21701.62114189868,11675900,BTC,INR
2014-12-14,21661.07508226996,22072.71091188281,21579.298520664917,21967.505068913335,12415200,BTC,INR
2014-12-15,21966.387071698322,21994.77087019547,21564.58375358989,21590.279323809664,17264200,BTC,INR
2014-12-16,21835.472072993405,21847.221613872796,20659.852916702628,20659.852916702628,30864900,BTC,INR
2014-12-17,20805.30197441345,21257.17455838574,20060.37073035864,20354.701751125976,37567900,BTC,INR
2014-12-18,20312.10436032212,20561.34971176635,19324.208308344474,19779.251364538446,39173000,BTC,INR
2014-12-19,19598.986581574194,20062.163822169416,19321.233235475607,20018.705397223122,23823100,BTC,INR
2014-12-20,20004.597266347148,20804.860808355734,19905.400191908702,20781.6189120952,20856700,BTC,INR
2014-12-21,20755.60728605371,20761.023731940426,20085.469147356227,20207.654402350076,15207600,BTC,INR
2014-12-22,20304.34042659728,21129.559918714454,20263.676765850047,20988.470332450233,22315100,BTC,INR
2014-12-23,20991.110541099915,21261.072054686956,20838.42645689612,21152.644841949223,16574200,BTC,INR
2014-12-24,21211.04387545958,21233.625233166385,20384.637808785774,20459.298572097905,15092300,BTC,INR
2014-12-25,20432.933572824113,20457.279343673727,20095.13817895204,20225.10740815429,9883640,BTC,INR
2014-12-26,20270.301643537357,21049.733387108892,20109.931704957038,20827.437885399908,16410500,BTC,INR
2014-12-27,20805.779735147953,20890.125185869634,19856.06965277344,20061.40729189478,15185200,BTC,INR
2014-12-28,20080.270466966555,20325.939481642097,19757.4973519668,20148.80163024366,11676600,BTC,INR
